,삼양홀딩스,유한양행,CJ대한통운,두산,대림산업,한국테크놀로지그룹,기아차,동아쏘시오홀딩스,SK하이닉스,영풍,현대건설,삼성화재,한화,CJ,LG상사,동국제강,세아베스틸,대상,SK네트웍스,오리온홀딩스,고려제강,롯데푸드,넥센타이어,KCC,아모레G,부광약품,태광산업,쌍용양회,대한항공,LG,남양유업,롯데정밀화학,현대제철,신세계,농심,세방전지,효성,롯데지주,빙그레,롯데칠성,현대차,POSCO,삼성전자,NH투자증권,SK디스커버리,LS,녹십자,삼성SDI,대한유화,미래에셋대우,오뚜기,일양약품,대덕전자,삼성전기,한국조선해양,한화솔루션,OCI,LS산전,고려아연,삼성중공업,현대미포조선,S-Oil,롯데케미칼,금호석유,SKC,현대모비스,한화에어로스페이스,HDC,에스원,유니드,한국전력,삼성증권,SK텔레콤,현대엘리베이,한온시스템,대교,한섬,코웨이,롯데쇼핑,기업은행,한국단자,남해화학,삼성엔지니어링,삼성카드,제일기획,KT,KT&G,두산중공업,LG디스플레이,강원랜드,NAVER,한국가스공사,엔씨소프트,두산인프라코어,대우건설,포스코인터내셔널,LG생활건강,LG화학,신한지주,S&T모티브,LG전자,휴켐스,대웅제약,현대백화점,한국금융지주,GS,하나금융지주,아모레퍼시픽,LF,후성,SK이노베이션,CJ제일제당,KB금융
20100104,46517,141333,54500,74680,85300,12405,20800,97972,24100,569000,71700,204500,47861,58652,30400,23620,16450,7820,10950,13951,25011,248080,6650,345471,15464,6284,721000,1828,58352,74000,550000,48750,90700,352531,250000,25800,50480,50161,50800,84108,119000,612000,16180,16663,39345,115000,114790,148000,43200,18660,149000,30373,6500,108500,156248,13700,215000,95600,201500,18727,51136,53300,108500,20850,19350,169500,91000,28329,49300,28781,34250,63247,170000,43874,2670,5850,16150,38800,322268,14250,18700,19250,67636,55000,12476,39150,64700,70755,41500,16200,60583,45965,149500,16700,13250,33300,290500,224000,43600,29100,123136,17885,46838,113000,34250,33750,33350,94224,31900,3726,117000,207000,59400
20100105,46257,142136,54400,74519,84500,11860,19650,94669,23350,550000,70700,202500,48007,59595,31350,24072,16300,7760,11100,14196,24816,242697,6450,349861,15165,6223,717000,1765,59837,73700,551000,49250,91000,340057,254500,25500,52255,49620,48800,86708,110000,618000,16440,16423,40067,112500,114330,144000,41700,18615,148000,30136,6550,103000,155339,13550,213500,93100,206500,18613,49532,54800,108000,20650,19500,157500,89200,27659,49400,28595,34050,64290,168500,44026,2590,5900,16300,38700,316308,14250,18850,19450,70130,55200,12275,40350,64000,70669,41350,16000,60583,45965,143000,17150,13300,34600,287500,222500,44600,29500,122648,17312,46025,108000,34600,33900,33900,91524,30650,3702,121500,220000,58700
20100106,45894,143741,56400,78619,86200,11786,19850,92101,24550,537000,71200,208500,49223,59595,31800,24298,16100,7940,11150,14025,24750,236826,6410,351178,14965,6304,716000,1745,59837,73500,552000,49900,94000,341370,253000,26200,54859,50161,49900,85608,111000,612000,16820,16423,41932,113500,113868,144500,42300,18925,150000,30183,6390,102000,161244,14600,216500,96000,204500,19417,50635,54800,112000,22000,19200,156500,89400,27585,49000,28632,34000,64764,169000,43950,2550,5870,16550,37800,317225,14300,18900,19950,72935,54900,12135,41450,63100,72739,41700,16150,60269,46062,136000,17250,12800,34750,276000,222500,44950,29400,121670,17613,46295,105500,34300,34250,33900,86022,30400,3755,122000,220500,58500
20100107,45167,142536,56600,80790,86000,11488,18950,92835,24400,535000,69500,207000,49028,60444,31750,24930,16150,7870,11100,13337,24294,234379,6250,351178,14766,6408,718000,1741,57290,69300,552000,52400,91400,340714,251000,25300,53143,50161,49850,85608,106000,606000,16260,15753,40910,114000,113868,137000,44250,18925,148500,29376,6140,98200,176233,14650,218500,94100,211000,20604,58155,55200,114000,22400,18800,151500,87200,27362,48400,28261,33800,64290,171500,44026,2470,5900,16350,37650,315850,14150,18500,19700,70753,54500,11994,42450,62600,73171,39300,16250,60427,46787,129500,18050,12850,35350,270000,213000,43600,28600,112386,17312,45754,106000,33600,34600,33450,84122,30150,3785,121500,218000,57800
20100108,45063,141333,57600,86015,86900,11588,19350,92101,24650,533000,69600,201000,49223,63556,31000,24117,16100,8200,11700,13705,24783,236336,6250,356006,14566,6470,719000,1749,57608,67700,550000,53400,92500,338088,258000,24650,55037,50045,48850,87008,106000,606000,16420,16232,41271,112500,112946,136500,44700,20031,151000,29234,6130,96400,186225,15700,227000,94300,206500,20910,63920,55200,114000,21550,19400,151500,85000,27362,48300,28187,33800,66566,169500,43723,2470,5910,16000,37600,299347,14300,18900,19600,72312,54500,11673,44550,62300,75587,40350,16250,58386,47560,135500,18700,12850,36600,272000,216000,44450,29150,108477,17432,45664,103500,35850,34450,33550,82821,30450,3804,122500,218000,57900
20100111,45167,138923,59400,84809,89900,11464,18750,89165,24000,530000,72500,196500,48736,64310,31500,24207,15950,8170,11650,13754,24522,236336,6170,354690,14467,6263,711000,1782,58882,68000,540000,53100,92300,325287,263000,24050,55155,49891,48200,87108,101500,625000,15940,16615,40910,111000,114330,131500,45050,20075,146000,28569,6080,94300,187133,15800,220000,93000,198500,20910,64923,55200,118000,21050,19550,147000,83100,28180,48700,28224,34900,68177,172000,43495,2410,5840,15800,37200,292012,14700,18600,20150,73870,53600,11473,44600,62300,75846,38500,16050,57601,48285,136000,19300,12900,37400,273500,214000,45700,29750,107989,17010,45483,103500,35600,34800,35800,85322,29850,3966,123500,216000,59100
20100112,45063,136112,58400,88829,93900,11439,18950,89165,24050,528000,72900,197500,48104,63744,31400,23891,15550,8100,11400,13705,24554,235358,6170,353812,14167,6120,704000,1775,58988,67500,533000,53300,94100,332836,260000,24450,54918,50006,47700,85708,103000,624000,16180,16471,39466,106000,113868,134500,44800,20075,141500,28095,6040,95700,185317,15650,216500,91300,203000,20297,63419,54800,120000,21350,19200,148500,83200,28403,48100,28929,35650,67988,173000,43268,2410,5800,15250,36900,299805,14700,18600,21450,73870,53700,11934,43800,62500,75501,38450,15950,60269,48237,138500,19400,12850,37450,281500,221500,45300,28600,109455,17282,45303,105500,35200,34100,35750,84122,30000,3922,123500,218000,58800
20100113,44492,134506,56700,86819,93200,10969,19000,86230,24050,521000,70700,200500,46839,61481,30500,22627,15650,7890,11200,13435,24653,233890,6110,348544,14018,6120,701000,1790,58458,66700,527000,52900,92300,330210,260000,24000,53261,49080,47300,84308,102000,596000,15940,15944,39586,104000,112946,135000,43600,19058,138000,27715,5930,96700,174870,14600,210500,91800,193000,19876,60411,53800,115000,20950,18450,151000,86400,27845,48950,28558,36100,65522,173000,42811,2340,5710,14450,35800,292929,14450,18450,20700,72312,53500,11874,44050,62600,74293,38350,15900,58700,47560,141000,19000,12650,36900,277500,216500,44800,27650,107011,17221,44807,102500,34150,34600,35700,83922,29550,3961,118000,211000,57700
20100114,44129,133705,57900,86015,94300,10919,19100,85129,25450,521000,71900,200000,48542,64122,30450,23123,15300,7900,11400,13214,24131,244655,6000,353812,14018,6140,700000,1763,62277,66700,514000,53000,93200,326271,252500,23650,54267,48501,47700,84408,103500,592000,16540,15944,40128,105500,117095,136500,44450,19412,136500,27573,6320,96200,185317,14850,206500,91300,191000,19914,61163,53500,115500,21150,18500,149500,82500,27585,49150,27965,36450,66092,171000,42660,2340,5700,14500,35300,283302,14200,18200,21700,70753,52100,12155,43700,62400,73430,40400,16050,57287,47367,141000,18700,12650,36600,273000,225000,44000,27050,107500,17161,43949,103000,34950,35550,35600,83522,30000,3907,119000,219000,57400
20100115,44180,134907,57800,90838,93600,10894,19100,84762,26100,519000,70700,199000,49612,67045,32000,23033,15300,7860,11850,12895,24328,247101,5910,354251,13419,6244,697000,1761,63868,65400,521000,53200,93700,320691,255500,24100,54386,47074,48000,84408,108000,592000,16840,15944,40609,104000,121705,133000,44100,19456,137500,27858,6440,96000,197126,15100,203000,91900,190000,20718,65925,54000,114500,21000,18500,150500,78100,27436,48900,27297,36300,65997,181000,42887,2390,5740,14750,35200,281010,14350,18600,21700,71065,52300,12235,44950,62900,74724,40400,15900,56817,47125,138500,21000,12850,37750,274000,227000,43000,27050,107500,17432,46025,102500,34100,37500,35300,81321,30900,3946,118500,224000,57300
20100118,43246,136916,58800,95661,91300,10746,18650,82927,25900,519000,72000,194500,49904,66951,32100,23169,15800,7770,11950,13067,24099,243187,5740,344154,13220,6223,694000,1741,63020,67500,531000,53500,92700,322332,249500,25050,54800,46688,47550,83007,108000,598000,16860,15897,39526,104000,120783,143000,43350,19810,136500,27620,6760,99500,197581,15400,204000,92800,191500,20872,66427,55100,118500,22200,18150,154000,79400,27102,48000,27297,38000,66850,179000,42660,2370,5620,15100,34900,289262,14450,18600,21100,71688,51800,12034,46000,64800,80592,41150,16000,58543,48430,135000,21050,12600,37000,274500,234000,42000,26450,109943,17432,45123,101000,33550,37450,35150,82821,29850,4020,120000,215500,55900
20100119,43506,139726,59000,96867,92700,10894,18550,85863,25600,516000,73500,196000,49223,66479,32300,23078,15600,7740,11750,12944,24294,245633,5730,340642,13419,6161,689000,1741,65035,68300,533000,53100,95000,332836,249000,24750,54090,47382,47700,83808,104500,604000,16460,15944,36879,104500,120323,138500,42900,19544,137500,27051,6650,96300,198034,16000,201500,92100,186000,20910,66677,54400,123000,21450,18450,150000,81100,26990,47550,27149,40050,66945,182500,42584,2440,5670,14950,35500,289262,14750,19600,21600,69506,53900,11894,45600,66400,80505,40900,16500,58229,48817,134000,21400,12750,36900,280000,231000,42400,26700,110920,17855,45935,106500,33500,37850,35450,81621,28700,3966,118500,214500,56500
20100120,42779,138121,59000,98475,89900,11043,18700,84028,25400,516000,73700,193000,48542,68554,31500,23440,15000,7610,11600,12281,24099,246123,5570,333619,13419,6120,707000,1721,63444,68000,529000,51800,95000,342027,248000,24500,54090,47035,47150,83707,103500,622000,16680,15992,36277,105500,114330,139500,42100,19190,137500,26766,6460,92800,196217,16600,198000,89500,188000,20910,64923,54500,124000,21250,18100,148000,79500,26879,47450,27520,41600,66376,188000,42508,2360,5640,15150,35350,290637,14350,19550,20750,68571,55800,11633,48700,68100,80764,40050,16450,58386,51620,137000,20750,12700,38550,277500,225500,42100,26050,110432,17583,46657,105500,33200,36700,36250,81721,28650,3991,114000,212000,55900
20100121,42363,139324,59500,94456,90800,10548,19400,84762,25950,519000,73900,190500,48736,68554,30650,23078,14900,7610,12150,12133,24099,246612,5380,334058,13519,6140,701000,1713,63550,67200,537000,51200,93200,336775,230500,23850,55037,47228,47400,84408,109000,615000,17000,16136,35796,104500,116174,139000,41850,19367,134500,27146,6430,93800,200305,16600,197000,90500,180500,20872,64672,54000,122000,21100,18600,152000,82400,26619,48000,27631,41050,66092,186000,42129,2390,5590,15150,34700,280093,14200,19350,20500,71688,56600,11633,49100,65500,80246,41900,16500,59328,51910,146500,19900,12850,38650,285000,225000,42650,25400,110432,17221,46657,104000,33900,37500,35450,81721,28000,4162,114500,218000,56200
