dates,return
20100104,0.109016729
20100105,0.109016729
20100106,0.105720952
20100107,0.106828337
20100108,0.105723455
20100111,0.10656779
20100112,0.104613896
20100113,0.10433458
20100114,0.102926169
20100115,0.103209427
20100118,0.102377808
20100119,0.105447211
20100120,0.102946498
20100121,0.103793534
20100122,0.1062712
20100125,0.1062712
20100126,0.106820901
20100127,0.105447161
20100128,0.104633483
20100129,0.107090969
20100201,0.106547611
20100202,0.109549077
20100203,0.108481558
20100204,0.106840915
20100205,0.10658577
20100208,0.103773607
20100209,0.10349194
20100210,0.100941807
20100211,0.104054486
20100212,0.103773607
20100216,0.102923569
20100217,0.104062368
20100218,0.10235461
20100219,0.10065212
20100222,0.102642108
20100223,0.105190932
20100224,0.102639493
20100225,0.103781537
20100226,0.102642163
20100302,0.103513416
20100303,0.102079836
20100304,0.100337412
20100305,0.099756299
20100308,0.100048653
20100309,0.100917914
20100310,0.099764513
20100311,0.102071617
20100312,0.10178512
20100315,0.100340155
20100316,0.10178512
20100317,0.101497803
20100318,0.101209658
20100319,0.100337412
20100322,0.100337412
20100323,0.099177327
20100324,0.100917914
20100325,0.103250398
20100326,0.100340214
20100329,0.099460293
20100330,0.099460293
20100331,0.099460293
20100401,0.100639343
20100402,0.098871242
20100405,0.09828156
20100406,0.099166202
20100407,0.099166202
20100408,0.100348741
20100409,0.097983981
20100412,0.09828156
20100413,0.099166202
20100414,0.098578255
20100415,0.099460293
20100416,0.100048712
20100419,0.098578255
20100420,0.099460293
20100421,0.099460293
20100422,0.099460293
20100423,0.099460293
20100426,0.100048712
20100427,0.100348741
20100428,0.099169073
20100429,0.098874132
20100430,0.0979811
20100503,0.096793448
20100504,0.098575409
20100506,0.098575409
20100507,0.098575409
20100510,0.098575409
20100511,0.098575409
20100512,0.097983981
20100513,0.09828156
20100514,0.098578255
20100517,0.09887407
20100518,0.099753522
20100519,0.099169013
20100520,0.100045893
20100524,0.100045893
20100525,0.100045893
20100526,0.100045893
20100527,0.099463087
20100528,0.099756299
20100531,0.100628084
20100601,0.100628084
20100603,0.100048653
20100604,0.100340155
20100607,0.10178512
20100608,0.101497803
20100609,0.100628084
20100610,0.100628084
20100611,0.100628084
20100614,0.102379295
20100615,0.099753522
20100616,0.100929104
20100617,0.099756358
20100618,0.098871242
20100621,0.098871242
20100622,0.097694086
20100623,0.098290028
20100624,0.098882435
20100625,0.099471351
20100628,0.098915084
20100629,0.10235461
20100630,0.101785064
20100701,0.102639493
20100702,0.10320948
20100705,0.10235461
20100706,0.10235461
20100707,0.101785064
20100708,0.100941807
20100709,0.099588935
20100712,0.103793534
20100713,0.105177503
20100714,0.106273626
20100715,0.1076362
20100716,0.107365167
20100719,0.107093402
20100720,0.1062712
20100721,0.1062712
20100722,0.106820901
20100723,0.105447161
20100726,0.105177503
20100727,0.106818454
20100728,0.106818454
20100729,0.106818454
20100730,0.106818454
20100802,0.105730669
20100803,0.107362748
20100804,0.107362748
20100805,0.106280808
20100806,0.10736512
20100809,0.107100417
20100810,0.108176043
20100811,0.108978198
20100812,0.110050195
20100813,0.108980536
20100816,0.107636154
20100817,0.108442588
20100818,0.108442588
20100819,0.108442588
20100820,0.108442588
20100823,0.107372143
20100824,0.108444907
20100825,0.108713055
20100826,0.108980492
20100827,0.108719887
20100830,0.108209972
20100831,0.111353861
20100901,0.109796244
20100902,0.112652088
20100903,0.111356045
20100906,0.11213349
20100907,0.11213349
20100908,0.11213349
20100909,0.116862868
20100910,0.110307183
20100913,0.11111317
20100914,0.111411674
20100915,0.107362748
20100916,0.107906506
20100917,0.106547611
20100920,0.107362748
20100924,0.107906506
20100927,0.1076362
20100928,0.106273626
20100929,0.106547611
20100930,0.106820853
20101001,0.107633796
20101004,0.106554753
20101005,0.107636154
20101006,0.10790646
20101007,0.107112021
20101008,0.10792482
20101011,0.109253978
20101012,0.11030714
20101013,0.11004985
20101014,0.120716802
20101015,0.107090969
20101018,0.106547611
20101019,0.106280808
20101020,0.10736512
20101021,0.108173711
20101022,0.110342373
20101025,0.107090969
20101026,0.108183317
20101027,0.105998892
20101028,0.107365167
20101029,0.106545199
20101101,0.103832366
20101102,0.10736512
20101103,0.107636154
20101104,0.10790646
20101105,0.107643138
20101108,0.10924494
20101109,0.108713055
20101110,0.110043245
20101111,0.10924494
20101112,0.108713055
20101115,0.108451776
20101116,0.110040958
20101117,0.110040958
20101118,0.110040958
20101119,0.110040958
20101122,0.110040958
20101123,0.108987286
20101124,0.11056817
20101125,0.11056817
20101126,0.11109488
20101129,0.110304908
20101130,0.110304908
20101201,0.110304908
20101202,0.110832997
20101203,0.110040958
20101206,0.110570432
20101207,0.109776316
20101208,0.109776316
20101209,0.109776316
20101210,0.110307183
20101213,0.108451776
20101214,0.109513247
20101215,0.110304908
20101216,0.110832997
20101217,0.110040958
20101220,0.110040958
20101221,0.110570432
20101222,0.109776316
