,return
20100104,2.38
20100105,2.34
20100106,2.34
20100107,2.32
20100108,2.31
20100111,2.28
20100112,2.27
20100113,2.26
20100114,2.27
20100115,2.28
20100118,2.31
20100119,2.3
20100120,2.33
20100121,2.36
20100122,2.36
20100125,2.36
20100126,2.35
20100127,2.36
20100128,2.39
20100129,2.39
20100201,2.4
20100202,2.36
20100203,2.32
20100204,2.29
20100205,2.25
20100208,2.24
20100209,2.23
20100210,2.26
20100211,2.25
20100212,2.24
20100216,2.24
20100217,2.22
20100218,2.22
20100219,2.25
20100222,2.26
20100223,2.23
20100224,2.23
20100225,2.21
20100226,2.2
20100302,2.17
20100303,2.15
20100304,2.15
20100305,2.16
20100308,2.17
20100309,2.17
20100310,2.19
20100311,2.18
20100312,2.17
20100315,2.18
20100316,2.17
20100317,2.16
20100318,2.15
20100319,2.15
20100322,2.15
20100323,2.17
20100324,2.17
20100325,2.13
20100326,2.12
20100329,2.12
20100330,2.12
20100331,2.12
20100401,2.1
20100402,2.1
20100405,2.11
20100406,2.11
20100407,2.11
20100408,2.09
20100409,2.1
20100412,2.11
20100413,2.11
20100414,2.12
20100415,2.12
20100416,2.11
20100419,2.12
20100420,2.12
20100421,2.12
20100422,2.12
20100423,2.12
20100426,2.11
20100427,2.09
20100428,2.08
20100429,2.07
20100430,2.07
20100503,2.09
20100504,2.09
20100506,2.09
20100507,2.09
20100510,2.09
20100511,2.09
20100512,2.1
20100513,2.11
20100514,2.12
20100517,2.13
20100518,2.13
20100519,2.14
20100520,2.14
20100524,2.14
20100525,2.14
20100526,2.14
20100527,2.15
20100528,2.16
20100531,2.16
20100601,2.16
20100603,2.17
20100604,2.18
20100607,2.17
20100608,2.16
20100609,2.16
20100610,2.16
20100611,2.16
20100614,2.13
20100615,2.13
20100616,2.11
20100617,2.1
20100618,2.1
20100621,2.1
20100622,2.12
20100623,2.14
20100624,2.16
20100625,2.18
20100628,2.22
20100629,2.22
20100630,2.23
20100701,2.23
20100702,2.22
20100705,2.22
20100706,2.22
20100707,2.23
20100708,2.26
20100709,2.33
20100712,2.36
20100713,2.38
20100714,2.39
20100715,2.38
20100716,2.37
20100719,2.36
20100720,2.36
20100721,2.36
20100722,2.35
20100723,2.36
20100726,2.38
20100727,2.38
20100728,2.38
20100729,2.38
20100730,2.38
20100802,2.4
20100803,2.4
20100804,2.4
20100805,2.42
20100806,2.43
20100809,2.45
20100810,2.46
20100811,2.46
20100812,2.44
20100813,2.43
20100816,2.44
20100817,2.44
20100818,2.44
20100819,2.44
20100820,2.44
20100823,2.46
20100824,2.47
20100825,2.48
20100826,2.49
20100827,2.51
20100830,2.55
20100831,2.55
20100901,2.58
20100902,2.57
20100903,2.58
20100906,2.58
20100907,2.58
20100908,2.58
20100909,2.49
20100910,2.48
20100913,2.45
20100914,2.4
20100915,2.4
20100916,2.39
20100917,2.4
20100920,2.4
20100924,2.39
20100927,2.38
20100928,2.39
20100929,2.4
20100930,2.41
20101001,2.41
20101004,2.43
20101005,2.44
20101006,2.45
20101007,2.48
20101008,2.51
20101011,2.53
20101012,2.54
20101013,2.56
20101014,2.39
20101015,2.39
20101018,2.4
20101019,2.42
20101020,2.43
20101021,2.43
20101022,2.39
20101025,2.39
20101026,2.37
20101027,2.38
20101028,2.37
20101029,2.37
20101101,2.42
20101102,2.43
20101103,2.44
20101104,2.45
20101105,2.47
20101108,2.47
20101109,2.48
20101110,2.47
20101111,2.47
20101112,2.48
20101115,2.5
20101116,2.5
20101117,2.5
20101118,2.5
20101119,2.5
20101122,2.5
20101123,2.52
20101124,2.52
20101125,2.52
20101126,2.51
20101129,2.51
20101130,2.51
20101201,2.51
20101202,2.5
20101203,2.5
20101206,2.49
20101207,2.49
20101208,2.49
20101209,2.49
20101210,2.48
20101213,2.5
20101214,2.51
20101215,2.51
20101216,2.5
20101217,2.5
20101220,2.5
20101221,2.49
20101222,2.49
20101223,2.49
20101224,2.49
20101227,2.52
20101228,2.53
20101229,2.54
20101230,2.54
20110103,2.55
