date,return
2019-12-31,1.262
2019-12-30,1.262
2019-12-27,1.262
2019-12-26,1.261
2019-12-24,1.258
2019-12-23,1.258
2019-12-20,1.258
2019-12-19,1.258
2019-12-18,1.255
2019-12-17,1.256
2019-12-16,1.252
2019-12-13,1.25
2019-12-12,1.247
2019-12-11,1.246
2019-12-10,1.246
2019-12-09,1.243
2019-12-06,1.245
2019-12-05,1.247
2019-12-04,1.247
2019-12-03,1.247
2019-12-02,1.248
2019-11-29,1.248
2019-11-28,1.252
2019-11-27,1.252
2019-11-26,1.252
2019-11-25,1.251
2019-11-22,1.251
2019-11-21,1.252
2019-11-20,1.251
2019-11-19,1.248
2019-11-18,1.246
2019-11-15,1.245
2019-11-14,1.245
2019-11-13,1.242
2019-11-12,1.242
2019-11-11,1.235
2019-11-08,1.231
2019-11-07,1.232
2019-11-06,1.232
2019-11-05,1.232
2019-11-04,1.236
2019-11-01,1.238
2019-10-31,1.243
2019-10-30,1.243
2019-10-29,1.245
2019-10-28,1.245
2019-10-25,1.237
2019-10-24,1.231
2019-10-23,1.227
2019-10-22,1.225
2019-10-21,1.226
2019-10-18,1.217
2019-10-17,1.215
2019-10-16,1.211
2019-10-15,1.211
2019-10-14,1.211
2019-10-11,1.214
2019-10-10,1.214
2019-10-08,1.214
2019-10-07,1.214
2019-10-04,1.214
2019-10-02,1.234
2019-10-01,1.239
2019-09-30,1.239
2019-09-27,1.241
2019-09-26,1.241
2019-09-25,1.241
2019-09-24,1.24
2019-09-23,1.239
2019-09-20,1.239
2019-09-19,1.239
2019-09-18,1.241
2019-09-17,1.241
2019-09-16,1.244
2019-09-11,1.244
2019-09-10,1.244
2019-09-09,1.249
2019-09-06,1.256
2019-09-05,1.251
2019-09-04,1.249
2019-09-03,1.248
2019-09-02,1.248
2019-08-30,1.246
2019-08-29,1.246
2019-08-28,1.248
2019-08-27,1.25
2019-08-26,1.248
2019-08-23,1.254
2019-08-22,1.253
2019-08-21,1.26
2019-08-20,1.263
2019-08-19,1.267
2019-08-16,1.274
2019-08-14,1.281
2019-08-13,1.282
2019-08-12,1.291
2019-08-09,1.294
2019-08-08,1.297
2019-08-07,1.298
2019-08-06,1.304
2019-08-05,1.307
2019-08-02,1.342
2019-08-01,1.377
2019-07-31,1.379
