dates,return
20100104,0.0073
20100105,-0.002908408
20100106,0.00821217
20100107,-0.014955268
20100108,0.006100041
20100111,-0.001931196
20100112,0.003644872
20100113,-0.017351148
20100114,0.00921659
20100115,0.00913242
20100118,0.005241701
20100119,-0.001114181
20100120,0.003123187
20100121,0.005915581
20100122,-0.024230633
20100125,-0.006117455
20100126,-0.020243469
20100127,-0.008702127
20100128,0.012440146
20100129,-0.024713683
20100201,0.001996767
20100202,-0.007069653
20100203,0.012376356
20100204,-0.000660814
20100205,-0.031456641
20100208,-0.00824149
20100209,0.012981266
20100210,-0.000339789
20100211,0.018403418
20100212,-0.004720355
20100216,0.004742742
20100217,0.01768941
20100218,-0.00416979
20100219,-0.018113385
20100222,0.021945376
20100223,0.000797074
20100224,-0.011852893
20100225,-0.015930211
20100226,0.003854307
20100302,0.014782108
20100303,0.004351116
20100304,-0.002119043
20100305,0.010098627
20100308,0.017192245
20100309,0.000413356
20100310,0
20100311,-0.004866403
20100312,0.002721904
20100315,-0.008557626
20100316,-0.001113741
20100317,0.023368177
20100318,-0.005719993
20100319,0.006666058
20100322,-0.008889695
20100323,0.007184697
20100324,0
20100325,0.004452724
20100326,0.005337676
20100329,-0.002924634
20100330,0.003971119
20100331,-0.004045307
20100401,0.017555736
20100402,0.005410919
20100405,0.003484935
20100406,0.00013188
20100407,-0.000879082
20100408,0.004223307
20100409,-0.006395935
20100412,-0.009787928
20100413,0.000445256
20100414,0.015087454
20100415,0.004779025
20100416,-0.006458088
20100419,-0.017743423
20100420,0.006617483
20100421,0.017589837
20100422,-0.005805579
20100423,-0.001756235
20100426,0.010028149
20100427,-0.001567671
20100428,-0.010031403
20100429,-0.003832937
20100430,0.008137632
20100503,-0.012502742
20100504,-0.00151044
20100506,-0.020243816
20100507,-0.023250534
20100510,0.018643359
20100511,-0.006709265
20100512,-0.003905712
20100513,0.018544146
20100514,0.001268116
20100517,-0.025872987
20100518,-0.004364785
20100519,-0.009280851
20100520,-0.017182131
20100524,0.007136699
20100525,-0.025871499
20100526,0.008738954
20100527,0.015535766
20100528,0.010818281
20100531,0.010561056
20100601,-0.00615844
20100603,0.021406441
20100604,0.002068205
20100607,-0.016740815
20100608,0.007929844
20100609,-0.003794891
20100610,0.002183406
20100611,0.016177629
20100614,0.010081197
20100615,-0.000406449
20100616,0.009035872
20100617,0.000492523
20100618,0.001432088
20100621,0.017517987
20100622,-0.005446001
20100623,-0.003797748
20100624,0.008245046
20100625,-0.008001759
20100628,-0.000354563
20100629,-0.013345156
20100630,-0.00759414
20100701,-0.009961512
20100702,-0.007500572
20100705,0.002119718
20100706,0.007587253
20100707,-0.007621395
20100708,0.015313865
20100709,0.016577589
20100712,0.006326858
20100713,0.001239706
20100714,0.013840983
20100715,-0.003838269
20100716,-0.008975875
20100719,-0.004506495
20100720,0.002307829
20100721,0.009032944
20100722,-0.007240653
20100723,0.014454316
20100726,0.005969499
20100727,0.000259887
20100728,0.002728099
20100729,-0.001727414
20100730,-0.008262675
20100802,0.012955289
20100803,0.004995263
20100804,-0.001028366
20100805,-0.003216951
20100806,-0.000172124
20100809,0.003400043
20100810,-0.004718195
20100811,-0.013187381
20100812,-0.021923312
20100813,0.013618503
20100816,-0.002202546
20100817,0.006401483
20100818,0.00412353
20100819,0.013018785
20100820,-0.003061929
20100823,-0.004196046
20100824,-0.003388358
20100825,-0.014950745
20100826,-0.002654985
20100827,0.000576778
20100830,0.018224548
20100831,-0.012280625
20100901,0.011463339
20100902,0.00544876
20100903,0.001647446
20100906,0.007487881
20100907,-0.001374748
20100908,-0.006496021
20100909,0.002554776
20100910,0.010365827
20100913,0.010302227
20100914,-0.001523229
20100915,0.004915671
20100916,-0.007463945
20100917,0.00964439
20100920,0.00273523
20100924,0.006336816
20100927,0.006588824
20100928,-0.003272848
20100929,0.006982834
20100930,0.002806786
20101001,0.00222268
20101004,0.002053472
20101005,0.000942662
20101006,0.014249447
20101007,-0.001937828
20101008,-0.002871936
20101011,-0.004340595
20101012,-0.012589635
20101013,0.002640809
20101014,0.01341619
20101015,0.001258883
20101018,-0.015898767
20101019,-0.01042697
20101020,0.006996793
20101021,0.003060507
20101022,0.013647796
20101025,0.009437032
20101026,0.000886525
20101027,-0.007126178
20101028,-0.000810997
20101029,-0.01391989
20101101,0.018231953
20101102,0.002101774
20101103,0.008308797
20101104,0.004520181
20101105,0.000398216
20101108,0.002030093
20101109,0.001350653
20101110,0.012139485
20101111,-0.029867127
20101112,0.003393802
20101115,0.003503121
20101116,-0.005537276
20101117,-0.002178825
20101118,0.015568136
20101119,0.007525383
20101122,0.003793867
20101123,-0.007401575
20101124,0.001031255
20101125,0.00027736
20101126,-0.012438107
20101129,-0.001564318
20101130,0.002892496
20101201,0.012658228
20101202,0.012737342
20101203,0.00636669
20101206,-0.001280807
20101207,0.005090937
20101208,-0.004330511
20101209,0.018678886
20101210,-0.00221104
20101213,0.005998319
20101214,0.006912005
20101215,0.003092822
20101216,-0.003872908
20101217,0.010380492
20101220,-0.000933986
20101221,0.007067534
20101222,0.001076826
20101223,7.42E-05
20101224,-0.004153995
20101227,-0.004283054
20101228,0.006321302
20101229,0.005203687
20101230,0.002773258
20110103,0.009661123
20110104,0.00719477
20110105,-0.001559214
20110106,-0.002287997
20110107,0.003239662
20110110,-0.005877871
20110111,0.004051243
20110112,0.003889495
20110113,-0.002353623
20110114,0.009618177
20110117,-0.004026315
20110118,-0.001624256
20110119,0.009580622
20110120,-0.005371531
20110121,-0.018289829
20110124,0.006711409
20110125,0.002477231
20110126,0.013191366
20110127,0.001398802
20110128,-0.002686246
20110131,-0.019141677
20110201,0.00120826
20110207,0.005302615
20110208,-0.006329574
20110209,-0.011934397
20110210,-0.019748055
20110211,-0.015761424
